event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
405657,973,CPI,12-05-20 12:00,India,INR,Moderate Volatility Expected,5.84%,5.68%,5.91%,cpi-973,Consumer Price Index (CPI) 
405664,736,Core CPI,12-05-20 12:30,United States,USD,Moderate Volatility Expected,1.40%,1.70%,2.10%,core-cpi-736,Core Consumer Price Index (CPI) 
405663,69,CPI,12-05-20 12:30,United States,USD,Moderate Volatility Expected,-0.80%,-0.80%,-0.40%,cpi-69,Consumer Price Index (CPI) 
406925,838,FOMC Member Bullard Speaks,12-05-20 13:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-bullard-speaks-838,Federal Open Market Committee (FOMC) Member Bullard Speaks
406669,1666,FOMC Member Harker Speaks,12-05-20 14:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-harker-speaks-1666,FOMC Member Harker Speaks
406670,1736,FOMC Member Quarles Speaks,12-05-20 14:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-quarles-speaks-1736,Federal Open Market Committee (FOMC) Member Quarles Speaks
406671,571,10-Year Note Auction,12-05-20 17:01,United States,USD,Moderate Volatility Expected,0.70%,,0.78%,10-year-note-auction-571,10-Year Note Auction
405673,369,Federal Budget Balance,12-05-20 18:00,United States,USD,Moderate Volatility Expected,-738.0B,-747.5B,-119.0B,federal-budget-balance-369,Federal Budget Balance
406753,656,API Weekly Crude Oil Stock,12-05-20 20:30,United States,USD,Moderate Volatility Expected,7.580M,5.000M,8.400M,api-weekly-crude-oil-stock-656,API Weekly Crude Oil Stock
406680,1336,FOMC Member Mester Speaks,12-05-20 21:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-mester-speaks-1336,Federal Open Market Committee (FOMC) Member Mester Speaks
405675,18,BRC Retail Sales Monitor,12-05-20 23:01,United Kingdom,GBP,Moderate Volatility Expected,5.70%,,-3.50%,brc-retail-sales-monitor-18,BRC Retail Sales Monitor 
405676,994,Current Account n.s.a.,12-05-20 23:50,Japan,JPY,Moderate Volatility Expected,1.971T,2.211T,3.169T,current-account-n.s.a.-994,Current Account n.s.a.
405678,364,Westpac Consumer Sentiment,13-05-20 00:30,Australia,AUD,Moderate Volatility Expected,16.40%,,-17.70%,westpac-consumer-sentiment-364,Westpac Consumer Sentiment
405680,336,Wage Price Index,13-05-20 01:30,Australia,AUD,Moderate Volatility Expected,0.50%,0.50%,0.50%,wage-price-index-336,Wage Price Index 
406682,400,RBNZ Monetary Policy Statement,13-05-20 02:00,New Zealand,NZD,Moderate Volatility Expected,,,,rbnz-monetary-policy-statement-400,Monetary Policy Statement
405684,507,GDP,13-05-20 04:00,Malaysia,MYR,Moderate Volatility Expected,0.70%,-1.50%,3.60%,gdp-507,Gross Domestic Product (GDP) 
405694,30,Business Investment,13-05-20 06:00,United Kingdom,GBP,Moderate Volatility Expected,0.00%,-2.50%,-0.50%,business-investment-30,Business Investment 
405688,158,Industrial Production,13-05-20 06:00,United Kingdom,GBP,Moderate Volatility Expected,-4.20%,-5.60%,-0.10%,industrial-production-158,Industrial Production 
405696,284,Trade Balance,13-05-20 06:00,United Kingdom,GBP,Moderate Volatility Expected,-12.51B,-10.00B,-9.83B,trade-balance-284,Trade Balance
405697,849,Trade Balance Non-EU,13-05-20 06:00,United Kingdom,GBP,Moderate Volatility Expected,-4.88B,-4.00B,-3.87B,trade-balance-non-eu-849,Trade Balance Non-EU
405709,1185,CPI,13-05-20 07:30,Sweden,SEK,Moderate Volatility Expected,-0.30%,-0.30%,-0.20%,cpi-1185,Consumer Price Index (CPI) 
405708,425,CPI,13-05-20 07:30,Sweden,SEK,Moderate Volatility Expected,-0.40%,0.10%,0.60%,cpi-425,Consumer Price Index (CPI) 
405713,160,Industrial Production,13-05-20 09:00,Euro Zone,EUR,Moderate Volatility Expected,-11.30%,-12.10%,-0.10%,industrial-production-160,Eurozone Industrial Production 
405724,861,Retail Sales,13-05-20 12:00,Brazil,BRL,Moderate Volatility Expected,-2.50%,-7.70%,1.20%,retail-sales-861,Retail Sales 
405723,416,Retail Sales,13-05-20 12:00,Brazil,BRL,Moderate Volatility Expected,-1.20%,-6.00%,4.70%,retail-sales-416,Retail Sales 
405727,62,Core PPI,13-05-20 12:30,United States,USD,Moderate Volatility Expected,-0.30%,0.00%,0.20%,core-ppi-62,Core Producer Price Index (PPI) 
406707,226,NIESR GDP Estimate,13-05-20 13:30,United Kingdom,GBP,Moderate Volatility Expected,-11.80%,,-2.00%,niesr-gdp-estimate-226,NIESR Gross Domestic Product (GDP) Estimate
406597,1974,Seevol Cushing Storage Report,13-05-20 13:30,United States,USD,Moderate Volatility Expected,-2.177M,,2.850M,seevol-cushing-storage-report-1974,Seevol Cushing Storage Report
406645,1657,Cushing Crude Oil Inventories,13-05-20 14:30,United States,USD,Moderate Volatility Expected,-3.002M,-2.177M,2.068M,cushing-crude-oil-inventories-1657,Cushing Crude Oil Inventories
405735,264,RICS House Price Balance,13-05-20 23:01,United Kingdom,GBP,Moderate Volatility Expected,-21%,-38%,9%,rics-house-price-balance-264,RICS House Price Balance
405742,1052,Full Employment Change,14-05-20 01:30,Australia,AUD,Moderate Volatility Expected,-220.5K,,-0.4K,full-employment-change-1052,Full Employment Change
405739,302,Unemployment Rate,14-05-20 01:30,Australia,AUD,Moderate Volatility Expected,6.20%,8.30%,5.20%,unemployment-rate-302,Unemployment Rate
405762,240,PPI,14-05-20 06:30,Switzerland,CHF,Moderate Volatility Expected,-1.30%,,-0.30%,ppi-240,Producer Price Index (PPI) 
405760,564,WPI Inflation,14-05-20 06:30,India,INR,Moderate Volatility Expected,0.00%,0.30%,1.00%,wpi-inflation-564,Wholesale Price Index (WPI) Inflation 
405765,961,Spanish CPI,14-05-20 07:00,Spain,EUR,Moderate Volatility Expected,-0.70%,-0.70%,0.00%,spanish-cpi-961,Consumer Price Index (CPI) 
406772,1847,Turkish Retail Sales,14-05-20 07:00,Turkey,TRY,Moderate Volatility Expected,-8.10%,,1.40%,turkish-retail-sales-1847,Turkish Retail Sales 
406773,1848,Turkish Retail Sales,14-05-20 07:00,Turkey,TRY,Moderate Volatility Expected,-0.20%,,10.60%,turkish-retail-sales-1848,Turkish Retail Sales 
406714,318,ECB Economic Bulletin,14-05-20 08:00,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb-economic-bulletin-318,European Central Bank Economic Bulletin
405810,892,Export Price Index,14-05-20 12:30,United States,USD,Moderate Volatility Expected,,-2.10%,-1.60%,export-price-index-892,Export Price Index 
405811,153,Import Price Index,14-05-20 12:30,United States,USD,Moderate Volatility Expected,,-3.10%,-2.30%,import-price-index-153,Import Price Index 
405812,207,Manufacturing Sales,14-05-20 12:30,Canada,CAD,Moderate Volatility Expected,,-5.70%,0.50%,manufacturing-sales-207,Manufacturing Sales 
406869,969,Central Bank reserves,14-05-20 13:00,Russia,RUB,Moderate Volatility Expected,,,567.3B,central-bank-reserves-969,Central Bank Reserves (USD)
406928,1790,ECB's De Guindos Speaks,14-05-20 15:00,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb's-de-guindos-speaks-1790,Vice-President of the European Central Bank Luis De Guindos Speaks
