event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
405522,1967.0,PBoC Loan Prime Rate,2020-04-20 01:30:00,China,CNY,High Volatility Expected,3.85%,3.85%,4.05%,pboc-loan-prime-rate-1967,People's Bank of China Loan Prime Rate
405476,391.0,RBA Meeting Minutes,2020-04-21 01:30:00,Australia,AUD,High Volatility Expected,,,,rba-meeting-minutes-391,Reserve Bank of Australia Meeting Minutes
404684,554.0,Interest Rate Decision,2020-04-24 10:30:00,Russia,RUB,High Volatility Expected,5.50%,5.50%,6.00%,interest-rate-decision-554,Russia Interest Rate Decision
405807,1669.0,BoJ Monetary Policy Statement,2020-04-27 04:30:00,Japan,JPY,High Volatility Expected,,,,boj-monetary-policy-statement-1669,Bank of Japan Monetary Policy Statement
405806,1668.0,BoJ Outlook Report,2020-04-27 04:30:00,Japan,JPY,High Volatility Expected,,,,boj-outlook-report-1668,Bank of Japan Quarterly Outlook Report
405809,370.0,BoJ Press Conference,2020-04-27 07:00:00,Japan,JPY,High Volatility Expected,,,,boj-press-conference-370,Bank of Japan Press Conference
404869,73.0,CPI,2020-04-29 01:30:00,Australia,AUD,High Volatility Expected,0.3%,0.2%,0.7%,cpi-73,Australia Consumer Price Index (CPI) QoQ
405816,398.0,FOMC Statement,2020-04-29 18:00:00,United States,USD,High Volatility Expected,,,,fomc-statement-398,U.S. Federal Open Market Committee (FOMC) Statement
405817,1692.0,FOMC Press Conference,2020-04-29 18:30:00,United States,USD,High Volatility Expected,,,,fomc-press-conference-1692,U.S. Federal Open Market Committee (FOMC) Press Conference
405007,1655.0,Deposit Facility Rate,2020-04-30 11:45:00,Euro Zone,EUR,High Volatility Expected,-0.50%,-0.50%,-0.50%,deposit-facility-rate-1655,Euro Zone Deposit Facility Rate
405978,1744.0,ECB Marginal Lending Facility,2020-04-30 11:45:00,Euro Zone,EUR,High Volatility Expected,0.25%,,0.25%,ecb-marginal-lending-facility-1744,Euro Zone Marginal Lending Facility Rate
405824,1845.0,ECB Monetary Policy Statement,2020-04-30 11:45:00,Euro Zone,EUR,High Volatility Expected,,,,ecb-monetary-policy-statement-1845,European Central Bank Monetary Policy Statement
405008,164.0,ECB Interest Rate Decision,2020-04-30 11:45:00,Euro Zone,EUR,High Volatility Expected,0.00%,0.00%,0.00%,ecb-interest-rate-decision-164,Eurozone Interest Rate Decision
405825,396.0,ECB Press Conference,2020-04-30 12:30:00,Euro Zone,EUR,High Volatility Expected,,,,ecb-press-conference-396,European Central Bank Press Conference
406293,387.0,RBA Rate Statement,2020-05-05 04:30:00,Australia,AUD,High Volatility Expected,,,,rba-rate-statement-387,Reserve Bank of Australia Rate Statement
406300,176.0,ISM Non-Manufacturing PMI,2020-05-05 14:00:00,United States,USD,High Volatility Expected,41.8,36.8,52.5,ism-non-manufacturing-pmi-176,U.S. ISM Non-Manufacturing Purchasing Managers Index (PMI)
405701,93.0,Employment Change,2020-05-05 22:45:00,New Zealand,NZD,High Volatility Expected,0.7%,-0.3%,0.0%,employment-change-93,New Zealand Employment Change QoQ
405296,262.0,Retail Sales,2020-05-06 01:30:00,Australia,AUD,High Volatility Expected,8.5%,8.2%,0.5%,retail-sales-262,Australia Retail Sales MoM
406315,44.0,Construction PMI,2020-05-06 08:30:00,United Kingdom,GBP,High Volatility Expected,8.2,22.0,39.3,construction-pmi-44,U.K. Construction Purchasing Managers Index (PMI)
406366,15.0,BoE Inflation Report,2020-05-07 06:00:00,United Kingdom,GBP,High Volatility Expected,,,,boe-inflation-report-15,Bank of England Inflation Report
405392,170.0,BoE Interest Rate Decision,2020-05-07 06:00:00,United Kingdom,GBP,High Volatility Expected,0.10%,0.10%,0.10%,boe-interest-rate-decision-170,U.K. Interest Rate Decision
406362,212.0,BoE MPC Meeting Minutes,2020-05-07 06:00:00,United Kingdom,GBP,High Volatility Expected,,,,boe-mpc-meeting-minutes-212,Bank of England (BoE) Monetary Policy Committee (MPC) Meeting Minutes
405404,185.0,Ivey PMI,2020-05-07 14:00:00,Canada,CAD,High Volatility Expected,22.8,25.0,26.0,ivey-pmi-185,Canada Ivey Purchasing Managers Index (PMI)
406731,1965.0,ECB President Lagarde Speaks,2020-05-08 11:00:00,Euro Zone,EUR,High Volatility Expected,,,,ecb-president-lagarde-speaks-1965,European Central Bank President Lagarde Speaks
